type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	14.059955112	120.821516441	559.3						
T	14.059549856	120.820691898	570.1						
T	14.058539911	120.819250612	549.2						
T	14.057934154	120.818427186	541.2						
T	14.056719416	120.816160301	537.2						
T	14.056111501	120.814923528	525.8						
T	14.055297713	120.812654466	564.3						
T	14.054288786	120.811419930	575.6						
T	14.053075046	120.809359798	593.6						
T	14.052065016	120.807918606	613.7						
T	14.051660784	120.807300796	612.8						
T	14.050648569	120.805446262	611.6						
T	14.050243245	120.804621780	593.5						
T	14.049433668	120.803179498	563.1						
T	14.048221992	120.801532776	544.8						
T	14.047211884	120.800091622	538.5						
T	14.046606029	120.799268267	530.2						
T	14.045797486	120.798032678	533.3						
T	14.044787337	120.796591534	546.3						
T	14.044584649	120.796179299	549.5						
T	14.043979861	120.795562626	564.6						
T	14.042768079	120.793915929	567.6						
T	14.041758974	120.792681468	534.4						
T	14.041151965	120.791651443	498.0						
T	14.040544947	120.790621417	450.9						
T	14.039735206	120.789179156	454.1						
T	14.037920686	120.787329144	399.4						
T	14.036912601	120.786301361	370.6						
T	14.036509360	120.785890246	356.3						
T	14.036101687	120.784652410	349.7						
T	14.034891938	120.783419063	336.8						
T	14.034487574	120.782801266	329.5						
T	14.033277795	120.781567914	290.0						
T	14.032471262	120.780745676	288.5						
T	14.031464195	120.779924562	239.4						
T	14.031261442	120.779512317	220.9						
T	14.030052713	120.778485637	194.7						
T	14.029446662	120.777662269	181.5						
T	14.028240144	120.777048951	178.8						
T	14.027434666	120.776433386	174.9						
T	14.026830833	120.776023385	172.5						
T	14.026025338	120.775407815	168.0						
T	14.025220960	120.774998933	166.7						
T	14.024416574	120.774590048	167.3						
T	14.023613307	120.774387850	164.7						
